HotelID,LocationName,LocationAddress,chain,chain1,chain2,chain3,chain4
224236,INTOWN SUITES -DALLAS PARK CENTRAL #144,9355 FOREST LN,1,1,1,1,1
224237,INTOWN SUITES BROOK HOLLOW,8201 BROOKRIVER DR,1,1,1,1,1
224240,HYATT HOUSE DALLAS LINCOLN PARK,8221 N CENTRAL EXPY,1,1,1,1,1
224241,"HILTON STEMMONS TRS,INC.",2325 N STEMMONS FWY,1,1,1,1,1
224283,FORT WORTH HAMPTON,4799 SW LOOP 820,1,0,1,1,0
224285,HAMPTON INN,13600 NORTH FWY,1,0,1,1,0
224286,HOMEWOOD SUITES FORT WORTH FOSSIL CREEK,3701 TANACROSS DR,1,1,1,1,1
224303,HAMPTON INN,820 W WALNUT HL LN,1,0,1,1,0
224334,HAMPTON INN & SUITES GRAPEVINE,1750 N HIGHWAY 121,1,0,1,1,0
224335,HILTON GARDEN INN MCALLEN AIPPORT,617 W EXPRESSWAY 83,1,1,1,1,1
224441,HAMPTON INN EAGLE PASS,3301 E MAIN ST,1,0,1,1,0
224442,HAMPTON INN,20515 HIGHWAY 59 N,1,0,1,1,0
224445,HAMPTON HILL,3563 NE LOOP 286,1,0,1,1,0
224467,COLLIN HOSPITALITY,4901 OLD SHEPARD PL,1,0,1,1,0
224498,HOMEWOOD SUITES BY HILTON DALLAS-ARLINGTON,2401 ROAD TO SIX FLAGS ST E STE E,1,1,1,1,1
224499,HAMPTON INN ROUND ROCK,110 DELL WAY,1,0,1,1,0
224501,HAMPTON INN OF KERRVILLE,2038 SIDNEY BAKER ST,1,0,1,1,0
224502,HOMEWOOD SUITES LUBBOCK,5320 W LOOP 289,1,1,1,1,1
224652,HAMPTON INN & SUITES,506 W BAY AREA BLVD,1,1,1,1,1
224815,COUNTRY INN & SUITES,2000 HARD ROCK RD,1,1,1,1,1
224818,HOLIDAY INN EXPRESS,4550 W JOHN CARPENTER FWY,1,1,1,1,1
224822,HAWTHORN SUITES,5000 PLAZA DR,1,1,1,1,1
224826,BUDGET INN AND SUITES,2440 E AIRPORT FWY,0,0,0,0,0
224828,RED ROOF INN-DFW AIRPORT NORTH,8150 ESTERS BLVD,1,1,1,1,1
225021,BAYMONT INN & SUITES,2401 DIPLOMACY DR,1,0,1,1,0
225022,MICROTEL INN,1740 OAK VILLAGE BLVD,1,1,1,1,1
225025,HAWTHORN SUITES BY WYNDAM ARLINGTON,2401 BROOKHOLLOW PLAZA DR,1,1,1,1,1
225026,INTOWN SUITES ARLINGTON OAK VILLAGE,1727 OAK VILLAGE BLVD,1,1,1,1,1
225027,INTOWN SUITES SIX FLAGS,2211 N COLLINS ST,1,1,1,1,1
225034,RED ROOF INN,11400 CHITO SAMANIEGO DR,0,1,1,0,0
225035,RED ROOF INN # 10245,7530 REMCON CIR,1,1,1,1,1
225036,INTOWN SUITES EL PASO,7984 GATEWAY BLVD E,1,1,1,1,1
225041,HAWTHORN SUITES BY WYNDHAM,6789 BOEING DR,1,1,1,1,1
225116,COUNTRY INN & SUITES,2200 MERCARDO,1,1,1,1,1
225119,MICROTEL INN & SUITES,10675 SOUTH FWY,1,1,1,1,1
225120,DALLAS/FORTH WORTH MARRIOTT HOTEL AT CHAMPIONS CIR,3300 CHAMPIONSHIP PKWY,1,1,1,1,1
225248,EXTENDED STAY AMERICA - AMARILLO - WEST,2100 CINEMA DR,1,1,1,1,1
225250,COMFORT INN & SUITES,2300 S SONCY RD,1,1,1,1,1
225352,QUALITY INNN & SUITES,3202 E SURFSIDE BLVD,1,1,1,1,1
225354,RED ROOF INN,6805 S PADRE ISLAND DR,1,1,1,1,1
225479,HYATT PLACE GRAPEVINE,2220 W GRAPEVINE MILLS CIR,1,1,1,1,1
225480,COMFORT INN,301 CAPITOL ST,1,1,1,0,1
225484,EMBASSY SUITES HOTEL,5215 S LOOP 289,1,1,1,1,1
225490,MICROTEL INN & SUITES,3911 N PANAM EXPY,1,1,1,1,1
225495,STUDIO 6,4704 W PLANO PKWY,1,1,1,1,1
225498,PLANO INN & SUITES,301 RUSSEAU DR,0,0,0,0,0
225572,HOLIDAY INN EXPRESS,4355 BELTWAY DR,1,1,1,1,1
225575,RADISSON HOTEL NORTH DALLAS,4960 ARAPAHO RD,1,1,1,1,1
225672,ECONO LODGE,2203 E KING AVE,0,0,0,0,0
225673,COMFORT INN & SUITES,175 HIGHWAY 287 N,1,1,1,1,1
225674,QUALITY INN MT. PLEASANT,2515 W FERGUSON RD,1,1,1,1,1
225675,COMFORT SUITES LAKE RAY HUBBARD,8701 E INTERSTATE HIGHWAY 30,1,1,1,1,1
225676,QUALITY SUITES,1415 N GENERAL BRUCE DR,0,1,1,0,1
225723,MOTEL 6 NORTH,2377 N EXPRESSWAY # 83,1,1,1,1,1
