Scale ID,Chain Scale,Affiliation Name,Aff Parent Company Name,
3,Upscale Chains,BlueSun Hotels & Resorts,BlueSun Hotels & Resorts,
4,Upper Midscale Chains,Boarders Inn & Suites,Cobblestone Hotels,
5,Midscale Chains,Bonsai Hotels,Bonsai Hotels,
3,Upscale Chains,Boudl Hotels & Resorts,Boudl Hotels & Resorts,
4,Upper Midscale Chains,Boulders Inn & Suites,Cobblestone Hotels,
3,Upscale Chains,Bourbon Hotels & Resorts,Bourbon Hotels & Resorts,
5,Midscale Chains,Boutique,Centro Hotels,
6,Economy Chains,Brains,S.A. Brain & Co Ltd,
6,Economy Chains,Brakspear,Brakspear,
3,Upscale Chains,Break Sokos Hotel,Sokos Hotels,
5,Midscale Chains,BreakFree Resort,Accor Hotels,
4,Upper Midscale Chains,Brend Hotel,Brend Hotels,
4,Upper Midscale Chains,Bridal Tea House,Bridal Tea House Hotels,
2,Upper Upscale Chains,Bridgestreet,BridgeStreet Global Hospitality,
2,Upper Upscale Chains,Bristol Hotels,Allia Hotels,
4,Upper Midscale Chains,Britannia Hotels,Britannia Hotels Ltd,
4,Upper Midscale Chains,BTG-Jianguo Hotels & Resorts,Beijing Tourism Group,
6,Economy Chains,Budget Host,Budget Host,
6,Economy Chains,Budget Suites of America,Budget Suites Of America,
6,Economy Chains,Budgetel,Hospitality Lodging Systems,
1,Luxury Chains,Bulgari Hotels,Marriott International,
3,Upscale Chains,BW Premier Collection,Best Western Hotels & Resorts,
4,Upper Midscale Chains,BW Signature Collection,Best Western Hotels & Resorts,
6,Economy Chains,CABINN,CABINN A/S,
3,Upscale Chains,Cambria Hotels,"Choice Hotels International, Inc.",
2,Upper Upscale Chains,Camino Real,Grupo Real Turismo 2,
5,Midscale Chains,Campanile Hotel,Groupe du Louvre,
3,Upscale Chains,Canad Inns,Canad Inns,
5,Midscale Chains,Canadas Best Value Inn,RLH Corporation,
4,Upper Midscale Chains,Canalta Hotels AFF,Canalta Hotels,
4,Upper Midscale Chains,Candeo Hotels,"Candeo Hospitality Management, Inc.",
5,Midscale Chains,Candlewood Suites,IHG Hotels & Resorts,
2,Upper Upscale Chains,Canopy by Hilton,Hilton Worldwide,
1,Luxury Chains,Capella,Capella Hotel Group,
6,Economy Chains,Capital O Hotel,Oyo Rooms,
3,Upscale Chains,Capri by Fraser,Frasers Hospitality,
4,Upper Midscale Chains,Carlton,Carlton Hotels,
2,Upper Upscale Chains,Carlton Hotel Collection,Carlton Hotel Collection,
5,Midscale Chains,Carris Hoteles,Carris Hoteles,
4,Upper Midscale Chains,Casa Andina Premium,Casa Andina Hoteles,
5,Midscale Chains,Casa Andina Select,Casa Andina Hoteles,
6,Economy Chains,Casa Andina Standard,Casa Andina Hoteles,
5,Midscale Chains,Casual Hoteles,Casual Hoteles,
5,Midscale Chains,Catalonia,Catalonia Hotels & Resorts,
3,Upscale Chains,Centara Boutique Collection,Centara Hotels & Resorts,
2,Upper Upscale Chains,Centara Grand Hotels & Resorts,Centara Hotels & Resorts,
