Scale ID,Chain Scale,Affiliation Name,Aff Parent Company Name,
5,Midscale Chains,Hotel Acta,Actahotels,
4,Upper Midscale Chains,Hotel Alpha-One,Hotel Alpha-One,
6,Economy Chains,Hotel Altica AF,The Altica Group,
4,Upper Midscale Chains,Hotel AMANO,Amano Group,
6,Economy Chains,Hotel AZ,Hotel AZ,
4,Upper Midscale Chains,Clarks Group Hotel,Clarks Group Hotels,
4,Upper Midscale Chains,Hotel Des Gouverneurs,Gouverneur Hotels,
2,Upper Upscale Chains,Diego De Almagro Hoteles,Diego de Almagro Hoteles,
2,Upper Upscale Chains,Hotel du Vin,Frasers Hospitality,
4,Upper Midscale Chains,Hotel Edda,Icelandair Hotels,
6,Economy Chains,Hotel F1,Accor Hotels,
4,Upper Midscale Chains,Hotel Gracery,Fujita Kanko Group,
3,Upscale Chains,Hotel Grand Central,Grand Hotels International,
4,Upper Midscale Chains,Hotel Grand Chancellor Hotels,Grand Hotels International,
3,Upscale Chains,Hotel Grand Continental,Grand Hotels International,
4,Upper Midscale Chains,Hotel Green Chain SENDAI,Hotel Green Chain SENDAI,
5,Midscale Chains,Hotel Gromada,Gromada,
3,Upscale Chains,Hotel Guldsmeden,Guldsmeden Hotels,
4,Upper Midscale Chains,Ilunion Hotels,Ilunion Hotels,
2,Upper Upscale Chains,Hotel Indigo,IHG Hotels & Resorts,
4,Upper Midscale Chains,Hotel JAL City,"Okura Nikko Hotel Management Co.,Ltd",
3,Upscale Chains,Hotel Jen,Shangri-La Asia Limited,
